Year,Crop,Tissue,Feature ID,Treatment,Mean,p-value,Pathway,Superclass,Class
2022,corn,leaf,1669,PP,2176.60,0.041637281,Unclassified,Unclasssified,Unclassified
2022,corn,root,1681,AP,1302.05,3.93338E-09,Fatty acids,Fatty amides,N-acyl amines
2022,corn,root,1681,PP,1715.98,3.93338E-09,Fatty acids,Fatty amides,N-acyl amines
2022,corn,leaf,1681,AP,1336.08,0.065171315,Fatty acids,Fatty amides,N-acyl amines
2022,corn,leaf,1681,PP,1125.60,0.065171315,Fatty acids,Fatty amides,N-acyl amines
2022,corn,leaf,1729,AP,208.03,2.40418E-07,Alkaloids,Ornithine alkaloids,Polyamines
2022,corn,leaf,1729,PP,494.98,2.40418E-07,Alkaloids,Ornithine alkaloids,Polyamines
2022,corn,root,1737,AP,6784.85,0.000077761,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
2022,corn,root,1737,PP,3169.05,0.000077761,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
2022,corn,leaf,1752,AP,29728.26,3.2188E-10,Amino acids and Peptides,Organoheterocyclic compounds,Indoles and derivatives
2022,corn,leaf,1752,PP,17067.68,3.2188E-10,Amino acids and Peptides,Organoheterocyclic compounds,Indoles and derivatives
2022,corn,root,1829,AP,8991.05,0.000301612,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
2022,corn,root,1829,PP,6514.85,0.000301612,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
2022,corn,leaf,1829,AP,11231.21,0.032021042,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
2022,corn,leaf,1829,PP,8890.18,0.032021042,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins
2022,corn,root,1873,AP,2228.38,2.76002E-08,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,root,1873,PP,926.65,2.76002E-08,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,1873,AP,31443.59,7.49345E-06,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,1873,PP,22257.63,7.49345E-06,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,1881,AP,5859.79,2.65724E-05,Alkaloids,Organoheterocyclic compounds,Quinolines and derivatives
2022,corn,leaf,1881,PP,4168.68,2.65724E-05,Alkaloids,Organoheterocyclic compounds,Quinolines and derivatives
2022,corn,leaf,1895,AP,20573.21,0.005550216,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
